TTP,counts,NORM
T1105,286,1.0
T1082,262,0.9157894736842105
T1071.001,227,0.7929824561403509
T1027,226,0.7894736842105263
T1059.003,211,0.7368421052631579
T1083,210,0.7333333333333333
T1057,183,0.6385964912280702
T1070.004,173,0.6035087719298246
T1140,167,0.5824561403508772
T1016,158,0.5508771929824562
T1547.001,153,0.5333333333333333
T1033,130,0.45263157894736844
T1573.001,115,0.4
T1106,111,0.38596491228070173
T1113,110,0.3824561403508772
T1112,101,0.3508771929824561
T1056.001,94,0.3263157894736842
T1005,92,0.3192982456140351
T1036.005,88,0.30526315789473685
T1543.003,83,0.28771929824561404
T1041,81,0.2807017543859649
T1518.001,73,0.25263157894736843
T1059.001,73,0.25263157894736843
T1053.005,71,0.24561403508771928
T1012,71,0.24561403508771928
T1132.001,69,0.23859649122807017
T1027.002,56,0.19298245614035087
T1047,55,0.18947368421052632
T1074.001,54,0.18596491228070175
T1204.002,54,0.18596491228070175
T1124,53,0.1824561403508772
T1562.001,52,0.17894736842105263
T1059.005,50,0.17192982456140352
T1218.011,50,0.17192982456140352
T1095,48,0.1649122807017544
T1049,45,0.1543859649122807
T1555.003,44,0.15087719298245614
T1573.002,43,0.14736842105263157
T1055.001,40,0.1368421052631579
T1055,40,0.1368421052631579
T1008,39,0.13333333333333333
T1036.004,39,0.13333333333333333
T1007,38,0.12982456140350876
T1566.001,37,0.12631578947368421
T1486,36,0.12280701754385964
T1497.001,35,0.11929824561403508
T1564.001,34,0.11578947368421053
T1497.003,33,0.11228070175438597
T1569.002,33,0.11228070175438597
T1018,32,0.10877192982456141
T1120,32,0.10877192982456141
T1553.002,32,0.10877192982456141
T1560,31,0.10526315789473684
T1087.001,30,0.10175438596491228
T1070.006,30,0.10175438596491228
T1135,29,0.09824561403508772
T1490,29,0.09824561403508772
T1548.002,29,0.09824561403508772
T1059.004,27,0.0912280701754386
T1119,27,0.0912280701754386
T1115,27,0.0912280701754386
T1102.002,27,0.0912280701754386
T1090,26,0.08771929824561403
T1071.004,26,0.08771929824561403
T1574.002,26,0.08771929824561403
T1560.003,26,0.08771929824561403
T1547.009,25,0.08421052631578947
T1010,25,0.08421052631578947
T1489,25,0.08421052631578947
T1070,24,0.08070175438596491
T1036,23,0.07719298245614035
T1027.001,23,0.07719298245614035
T1123,22,0.07368421052631578
T1518,22,0.07368421052631578
T1125,22,0.07368421052631578
T1055.012,21,0.07017543859649122
T1571,21,0.07017543859649122
T1046,21,0.07017543859649122
T1021.002,20,0.06666666666666667
T1059.007,20,0.06666666666666667
T1014,19,0.06315789473684211
T1204.001,19,0.06315789473684211
T1574.001,18,0.05964912280701754
T1025,18,0.05964912280701754
T1614.001,18,0.05964912280701754
T1560.001,18,0.05964912280701754
T1568.002,18,0.05964912280701754
T1059.006,17,0.056140350877192984
T1027.003,17,0.056140350877192984
T1564.003,17,0.056140350877192984
T1091,16,0.05263157894736842
T1566.002,16,0.05263157894736842
T1543.001,16,0.05263157894736842
T1485,16,0.05263157894736842
T1562.004,16,0.05263157894736842
T1059,15,0.04912280701754386
T1129,15,0.04912280701754386
T1218.010,14,0.0456140350877193
T1218.007,14,0.0456140350877193
T1071.003,14,0.0456140350877193
T1102,14,0.0456140350877193
T1029,14,0.0456140350877193
T1070.001,14,0.0456140350877193
T1048.003,14,0.0456140350877193
T1068,14,0.0456140350877193
T1069.001,14,0.0456140350877193
