TTP,counts,NORM
T1087.003,6,0.017543859649122806
T1542.003,6,0.017543859649122806
T1620,5,0.014035087719298246
T1555.004,5,0.014035087719298246
T1001,5,0.014035087719298246
T1016.001,5,0.014035087719298246
T1069,5,0.014035087719298246
T1040,5,0.014035087719298246
T1052.001,5,0.014035087719298246
T1110,5,0.014035087719298246
T1021.005,5,0.014035087719298246
T1104,5,0.014035087719298246
T1055.002,5,0.014035087719298246
T1039,4,0.010526315789473684
T1555.001,4,0.010526315789473684
T1102.003,4,0.010526315789473684
T1078.003,4,0.010526315789473684
T1037.001,4,0.010526315789473684
T1133,4,0.010526315789473684
T1078.002,4,0.010526315789473684
T1036.001,4,0.010526315789473684
T1569.001,4,0.010526315789473684
T1027.004,4,0.010526315789473684
T1132,4,0.010526315789473684
T1574.006,4,0.010526315789473684
T1614,4,0.010526315789473684
T1561.001,4,0.010526315789473684
T1480.001,4,0.010526315789473684
T1037.004,4,0.010526315789473684
T1134.004,3,0.007017543859649123
T1552.002,3,0.007017543859649123
T1574,3,0.007017543859649123
T1553.006,3,0.007017543859649123
T1543.002,3,0.007017543859649123
T1553.004,3,0.007017543859649123
T1553.001,3,0.007017543859649123
T1567,3,0.007017543859649123
T1546.011,3,0.007017543859649123
T1546.010,3,0.007017543859649123
T1564,3,0.007017543859649123
T1190,3,0.007017543859649123
T1547,3,0.007017543859649123
T1078.001,3,0.007017543859649123
T1195.002,3,0.007017543859649123
T1562.006,3,0.007017543859649123
T1548.003,3,0.007017543859649123
T1622,3,0.007017543859649123
T1609,3,0.007017543859649123
T1098.004,3,0.007017543859649123
T1542.001,3,0.007017543859649123
T1565.002,3,0.007017543859649123
T1484.001,3,0.007017543859649123
T1482,3,0.007017543859649123
T1114.002,3,0.007017543859649123
T1564.006,3,0.007017543859649123
T1611,3,0.007017543859649123
T1555.005,3,0.007017543859649123
T1547.015,3,0.007017543859649123
T1531,3,0.007017543859649123
T1176,3,0.007017543859649123
T1059.002,3,0.007017543859649123
T1564.005,3,0.007017543859649123
T1055.003,3,0.007017543859649123
T1056,2,0.0035087719298245615
T1568.001,2,0.0035087719298245615
T1055.011,2,0.0035087719298245615
T1055.013,2,0.0035087719298245615
T1550.002,2,0.0035087719298245615
T1053,2,0.0035087719298245615
T1559,2,0.0035087719298245615
T1070.005,2,0.0035087719298245615
T1556.003,2,0.0035087719298245615
T1556,2,0.0035087719298245615
T1548.001,2,0.0035087719298245615
T1564.010,2,0.0035087719298245615
T1070.003,2,0.0035087719298245615
T1499,2,0.0035087719298245615
T1092,2,0.0035087719298245615
T1218.002,2,0.0035087719298245615
T1218.004,2,0.0035087719298245615
T1221,2,0.0035087719298245615
T1610,2,0.0035087719298245615
T1137.001,2,0.0035087719298245615
T1491.001,2,0.0035087719298245615
T1495,2,0.0035087719298245615
T1497.002,2,0.0035087719298245615
T1547.013,2,0.0035087719298245615
T1110.003,2,0.0035087719298245615
T1505.004,2,0.0035087719298245615
T1098,2,0.0035087719298245615
T1546.012,2,0.0035087719298245615
T1090.004,2,0.0035087719298245615
T1546.004,2,0.0035087719298245615
T1021,2,0.0035087719298245615
T1547.012,2,0.0035087719298245615
T1547.008,2,0.0035087719298245615
T1547.006,2,0.0035087719298245615
T1021.004,2,0.0035087719298245615
T1564.002,1,0.0
T1021.006,1,0.0
T1003.004,1,0.0
T1037.005,1,0.0
T1615,1,0.0
T1003.005,1,0.0
T1613,1,0.0
T1036.003,1,0.0
T1601.001,1,0.0
T1011.001,1,0.0
T1598.003,1,0.0
T1564.009,1,0.0
T1036.006,1,0.0
T1598.002,1,0.0
T1565.001,1,0.0
T1588.003,1,0.0
T1021.003,1,0.0
T1574.013,1,0.0
T1574.010,1,0.0
T1566,1,0.0
T1036.007,1,0.0
T1027.006,1,0.0
T1213,1,0.0
T1563.002,1,0.0
T1111,1,0.0
T1546.002,1,0.0
T1543,1,0.0
T1542.002,1,0.0
T1110.002,1,0.0
T1505.002,1,0.0
T1505.001,1,0.0
T1499.004,1,0.0
T1498,1,0.0
T1110.004,1,0.0
T1127.001,1,0.0
T1562.009,1,0.0
T1134.003,1,0.0
T1137.006,1,0.0
T1220,1,0.0
T1187,1,0.0
T1218.012,1,0.0
T1195.001,1,0.0
T1218.009,1,0.0
T1201,1,0.0
T1218.001,1,0.0
T1087,1,0.0
T1546.009,1,0.0
T1547.002,1,0.0
T1074,1,0.0
T1562,1,0.0
T1053.002,1,0.0
T1055.005,1,0.0
T1557,1,0.0
T1556.004,1,0.0
T1556.002,1,0.0
T1556.001,1,0.0
T1055.015,1,0.0
T1555.002,1,0.0
T1070.002,1,0.0
T1552.005,1,0.0
T1202,1,0.0
T1552.003,1,0.0
T1552,1,0.0
T1550.003,1,0.0
T1550,1,0.0
T1548.004,1,0.0
T1072,1,0.0
T1547.014,1,0.0
T1647,1,0.0
