TTP,counts,weight
T1563.002,1,0.0034965034965034965
T1111,1,0.0034965034965034965
T1546.002,1,0.0034965034965034965
T1543,1,0.0034965034965034965
T1542.002,1,0.0034965034965034965
T1110.002,1,0.0034965034965034965
T1505.002,1,0.0034965034965034965
T1505.001,1,0.0034965034965034965
T1499.004,1,0.0034965034965034965
T1498,1,0.0034965034965034965
T1110.004,1,0.0034965034965034965
T1127.001,1,0.0034965034965034965
T1562.009,1,0.0034965034965034965
T1134.003,1,0.0034965034965034965
T1137.006,1,0.0034965034965034965
T1220,1,0.0034965034965034965
T1187,1,0.0034965034965034965
T1218.012,1,0.0034965034965034965
T1195.001,1,0.0034965034965034965
T1218.009,1,0.0034965034965034965
T1201,1,0.0034965034965034965
T1218.001,1,0.0034965034965034965
T1087,1,0.0034965034965034965
T1546.009,1,0.0034965034965034965
T1547.002,1,0.0034965034965034965
T1074,1,0.0034965034965034965
T1562,1,0.0034965034965034965
T1053.002,1,0.0034965034965034965
T1055.005,1,0.0034965034965034965
T1557,1,0.0034965034965034965
T1556.004,1,0.0034965034965034965
T1556.002,1,0.0034965034965034965
T1556.001,1,0.0034965034965034965
T1055.015,1,0.0034965034965034965
T1555.002,1,0.0034965034965034965
T1070.002,1,0.0034965034965034965
T1552.005,1,0.0034965034965034965
T1202,1,0.0034965034965034965
T1552.003,1,0.0034965034965034965
T1552,1,0.0034965034965034965
T1550.003,1,0.0034965034965034965
T1550,1,0.0034965034965034965
T1548.004,1,0.0034965034965034965
T1072,1,0.0034965034965034965
T1547.014,1,0.0034965034965034965
T1647,1,0.0034965034965034965
